ts_code,trade_date,total_mv,circ_mv
688205.SH,20260105,2175473.5618,2175473.5618
300375.SZ,20260105,400382.3571,268526.1176
002316.SZ,20260105,187125.12,162195.81
603305.SH,20260105,1895362.0318,1895362.0318
001325.SZ,20260105,388785.6,97196.4
001230.SZ,20260105,297176.4902,117513.9702
600737.SH,20260105,3670263.5592,3670263.5592
688390.SH,20260105,1547887.533,1547887.533
300394.SZ,20260105,15828187.5408,15796354.579
920682.BJ,20260105,300792.96,174435.7425
688302.SH,20260105,503890.3782,503890.3782
300564.SZ,20260105,251974.3424,176805.5135
601009.SH,20260105,13995558.1213,13995558.1213
603300.SH,20260105,1521614.5361,1521614.5361
002195.SZ,20260105,4423032.6629,4368984.1354
301295.SZ,20260105,303408.0,88494.0
002573.SZ,20260105,533555.6888,532605.7996
002374.SZ,20260105,399357.0161,399357.0161
300792.SZ,20260105,707037.1063,634200.4802
688155.SH,20260105,835868.4489,835868.4489
603332.SH,20260105,295313.9062,295313.9062
301397.SZ,20260105,546065.4462,248148.1954
002645.SZ,20260105,947048.9432,843421.6745
603901.SH,20260105,703990.5283,689283.0891
688545.SH,20260105,1405440.0,284537.4339
001366.SZ,20260105,212418.96,73608.96
601608.SH,20260105,3008766.6081,2989723.13
000886.SZ,20260105,647682.5365,640483.1682
601968.SH,20260105,690196.6879,690196.6879
000801.SZ,20260105,1747062.2607,1747062.2607
601021.SH,20260105,5792712.1976,5792712.1976
000665.SZ,20260105,658409.5576,658392.3526
688295.SH,20260105,2958300.0,2958300.0
688626.SH,20260105,1161600.0,1161600.0
688775.SH,20260105,9846555.0,805404.0
300900.SZ,20260105,1099162.1741,836251.1254
603798.SH,20260105,419551.6274,419551.6274
600862.SH,20260105,3457547.8836,3457547.8836
300159.SZ,20260105,1056225.151,588020.3842
000034.SZ,20260105,2862669.2336,2393087.869
002608.SZ,20260105,2810891.2998,2810891.2998
920509.BJ,20260105,613970.8157,320458.0916
600641.SH,20260105,1707705.9032,1707705.9032
600993.SH,20260105,1225917.266,1223793.1535
601139.SH,20260105,1904403.0398,1904403.0398
300410.SZ,20260105,308743.5443,308743.5443
300301.SZ,20260105,197508.767,187990.6591
300285.SZ,20260105,2891440.0671,2439900.0563
300458.SZ,20260105,3593085.3938,2941212.3478
605090.SH,20260105,3133077.3156,3126236.8621
688686.SH,20260105,1534054.9603,1534054.9603
002057.SZ,20260105,774992.4498,774520.8136
002233.SZ,20260105,1080201.1645,1079475.8662
688332.SH,20260105,1627955.1018,598199.4241
301376.SZ,20260105,736115.7553,354172.8165
300488.SZ,20260105,562037.8919,467960.184
300245.SZ,20260105,382731.599,381911.8
002630.SZ,20260105,297561.6,259628.7675
002703.SZ,20260105,1791693.3324,1276412.7052
688350.SH,20260105,312089.7449,312089.7449
300876.SZ,20260105,376823.1873,281109.5973
603048.SH,20260105,314176.32,314176.32
601015.SH,20260105,739384.1453,739384.1453
603270.SH,20260105,584795.6942,188742.7842
301071.SZ,20260105,952076.121,711825.4629
601666.SH,20260105,1965611.1395,1965611.1395
301617.SZ,20260105,1111884.8,441292.8
300789.SZ,20260105,327544.3028,225186.085
301192.SZ,20260105,306093.6,146669.85
003001.SZ,20260105,373628.7798,226479.3783
603730.SH,20260105,1849930.9936,1849930.9936
688707.SH,20260105,725463.5323,725463.5323
300752.SZ,20260105,419981.0811,289052.2429
920873.BJ,20260105,118568.1525,85187.3186
300445.SZ,20260105,550193.7337,367947.6844
000025.SZ,20260105,763835.343,696003.183
300017.SZ,20260105,2602097.8641,2439897.8435
300867.SZ,20260105,523916.7502,369458.4408
300803.SZ,20260105,8255305.4525,8125540.2702
002077.SZ,20260105,886772.5279,886772.5279
300256.SZ,20260105,923236.1081,913061.1081
002187.SZ,20260105,518662.0284,518662.0284
002895.SZ,20260105,2278750.0613,2237350.4363
603129.SH,20260105,4299638.5433,4299638.5433
300469.SZ,20260105,1611318.2066,1611277.508
300532.SZ,20260105,545742.6008,518998.0996
002154.SZ,20260105,567680.8206,458931.5328
600198.SH,20260105,1243637.7781,1242060.113
600556.SH,20260105,1207575.4249,1207575.4249
603995.SH,20260105,658112.1444,658112.1444
603551.SH,20260105,457265.9378,451158.6458
603617.SH,20260105,290510.6747,285429.1547
603601.SH,20260105,1338181.5512,1338181.5512
600724.SH,20260105,812225.4819,812057.7772
300993.SZ,20260105,453260.9952,354208.2314
600232.SH,20260105,309646.0439,309646.0439
603083.SH,20260105,4585512.8001,3583475.6141
002749.SZ,20260105,625386.8156,608346.0339
001330.SZ,20260105,1032263.757,1032263.757
603035.SH,20260105,574065.8744,574065.8744
600649.SH,20260105,1124520.8448,1124520.8448
002571.SZ,20260105,507184.2058,386008.2073
600184.SH,20260105,1127577.6506,984452.1983
300212.SZ,20260105,1318842.9171,1279673.4784
301060.SZ,20260105,408527.34,367388.2481
000078.SZ,20260105,934048.7562,932386.604
603970.SH,20260105,347558.5733,347558.5733
300882.SZ,20260105,556375.1095,517739.7463
300128.SZ,20260105,947055.1353,946035.72
300491.SZ,20260105,459209.6115,407756.7595
002677.SZ,20260105,543975.4868,450361.1454
688702.SH,20260105,5794940.0,2869085.8609
603717.SH,20260105,222832.3123,222832.3123
001202.SZ,20260105,265372.2471,185983.7364
603351.SH,20260105,365008.4607,365008.4607
600051.SH,20260105,235647.04,235647.04
002988.SZ,20260105,922655.2709,922370.083
600636.SH,20260105,378982.1969,378982.1969
605089.SH,20260105,352452.0,352452.0
000530.SZ,20260105,602053.73,428429.6046
300950.SZ,20260105,357872.984,212670.968
002674.SZ,20260105,437415.3971,432994.205
300777.SZ,20260105,1828303.9388,1761392.2552
301519.SZ,20260105,221450.7442,103402.9817
920039.BJ,20260105,174585.7,174585.5865
601398.SH,20260105,278709693.0436,210836750.2055
002031.SZ,20260105,1735323.1836,1529676.5833
920261.BJ,20260105,436990.2547,255992.8677
300341.SZ,20260105,866662.3128,863242.2978
605123.SH,20260105,1245757.9407,1245757.9407
600717.SH,20260105,1299406.4661,1299406.4661
301262.SZ,20260105,1049589.0,307263.7617
605068.SH,20260105,418796.5141,418796.5141
688033.SH,20260105,444136.8908,444136.8908
301667.SZ,20260105,821664.9168,165514.2293
603280.SH,20260105,409343.5746,105507.7346
600481.SH,20260105,1201089.5237,1201089.5237
002845.SZ,20260105,469709.145,358837.4933
002615.SZ,20260105,359492.4214,235520.8063
301030.SZ,20260105,244479.0626,244143.6977
920223.BJ,20260105,364114.775,188866.3813
688615.SH,20260105,3446800.0,2380021.4073
002056.SZ,20260105,3243663.8756,3240313.0283
600188.SH,20260105,13289624.2403,7843258.2752
002459.SZ,20260105,3842541.0238,3837979.8228
688188.SH,20260105,4239998.978,4239998.978
600416.SH,20260105,2377485.4206,2135229.7829
300897.SZ,20260105,363589.9518,226679.7177
300119.SZ,20260105,907665.9408,654180.827
603937.SH,20260105,256097.8846,256097.8846
600580.SH,20260105,7541903.3431,7520249.7631
600682.SH,20260105,1201203.0734,1039505.8256
603298.SH,20260105,3512915.9154,3512915.9154
300745.SZ,20260105,437138.3317,368665.3204
603936.SH,20260105,817626.2112,817626.2112
002090.SZ,20260105,479490.754,474032.9619
920422.BJ,20260105,114142.6959,85427.2959
920640.BJ,20260105,706232.736,679425.6081
300928.SZ,20260105,250960.0,168100.7815
002140.SZ,20260105,804303.7586,803108.122
002472.SZ,20260105,3993013.9774,3549449.3718
300751.SZ,20260105,5421295.3314,3751616.7918
300773.SZ,20260105,2044182.1273,1933356.2665
002200.SZ,20260105,334284.0555,145032.9438
002068.SZ,20260105,652986.534,652685.169
920496.BJ,20260105,167230.75,146448.4163
001301.SZ,20260105,2317489.6821,1434675.5789
002128.SZ,20260105,6435557.4984,6435557.4984
002236.SZ,20260105,6323717.7244,4071110.9842
688802.SH,20260105,24237257.8,1098822.7064
300254.SZ,20260105,264560.1456,231782.3759
603486.SH,20260105,4789994.8445,4743907.8371
301288.SZ,20260105,203058.8,146846.0875
301118.SZ,20260105,273727.8576,260950.3181
300597.SZ,20260105,254580.408,253461.6703
002161.SZ,20260105,555557.8074,529261.7091
688217.SH,20260105,159077.5918,159077.5918
601088.SH,20260105,79990661.3388,66392918.8068
603638.SH,20260105,1591534.5618,1591534.5618
600860.SH,20260105,679430.1111,551054.6179
603317.SH,20260105,1357511.3624,1357511.3624
600765.SH,20260105,3009190.0122,2988076.8722
603282.SH,20260105,270450.22,129716.7916
600729.SH,20260105,1146058.9064,500840.3601
300467.SZ,20260105,607989.0518,504323.3638
002529.SZ,20260105,185380.0,185380.0
301050.SZ,20260105,1357442.031,1155117.872
000829.SZ,20260105,1123510.08,1122446.1172
688498.SH,20260105,5706929.0064,5577600.0
920510.BJ,20260105,368427.858,187798.156
603261.SH,20260105,196552.7358,196552.7358
688211.SH,20260105,409829.4856,409829.4856
300527.SZ,20260105,832734.9347,832734.9347
688716.SH,20260105,517383.36,297330.3268
000717.SZ,20260105,620504.471,620431.607
688793.SH,20260105,214691.6567,214691.6567
300908.SZ,20260105,407194.0,343472.8078
601089.SH,20260105,1267200.0,1267200.0
002168.SZ,20260105,326996.1245,326996.1245
300230.SZ,20260105,399287.7995,309242.847
000782.SZ,20260105,336424.9394,258788.4153
300600.SZ,20260105,444882.5338,444882.5338
002774.SZ,20260105,343758.3459,287689.1456
000972.SZ,20260105,310827.2823,310827.2823
000856.SZ,20260105,230632.0,230632.0
603896.SH,20260105,386179.1386,386179.1386
002430.SZ,20260105,2993763.4297,2992667.1082
920152.BJ,20260105,255306.5181,188395.6889
688376.SH,20260105,847191.2033,847191.2033
002971.SZ,20260105,633570.96,481725.6016
301299.SZ,20260105,336198.9581,336198.9581
301386.SZ,20260105,334600.0,102581.1996
301587.SZ,20260105,344747.6136,171880.1136
688221.SH,20260105,794106.7444,794106.7444
603931.SH,20260105,637389.4657,637389.4657
688567.SH,20260105,1985918.8131,1985918.8131
688530.SH,20260105,269835.5733,114274.0519
301363.SZ,20260105,1641762.2255,1077063.8811
920533.BJ,20260105,407962.8634,225294.888
600301.SH,20260105,2348090.482,1022046.0479
600170.SH,20260105,2390317.7911,2390317.7911
603589.SH,20260105,1815292.5975,1815292.5975
002442.SZ,20260105,313045.6771,307180.4193
688169.SH,20260105,4047241.4682,4047241.4682
600149.SH,20260105,190460.16,190460.16
300478.SZ,20260105,410547.193,410547.193
301185.SZ,20260105,295942.5504,269809.9302
600029.SH,20260105,14641704.7425,10889354.9176
000519.SZ,20260105,2576234.1167,2576234.1167
002379.SZ,20260105,2861389.1101,2861389.1101
920009.BJ,20260105,431931.22,56145.6
300649.SZ,20260105,190415.0837,152595.9785
920132.BJ,20260105,135997.008,46082.5674
688418.SH,20260105,824133.8335,824133.8335
605008.SH,20260105,926310.1017,926310.1017
603777.SH,20260105,458829.9558,458829.9558
000596.SZ,20260105,7151429.4,5527949.4
600195.SH,20260105,805685.9771,805685.9771
600456.SH,20260105,1855210.1839,1855210.1839
300680.SZ,20260105,1257903.6149,971329.8854
603213.SH,20260105,579867.7298,579867.7298
301567.SZ,20260105,340920.0,100570.6898
000895.SZ,20260105,9205604.8429,9204411.7277
603882.SH,20260105,1365222.1364,1356016.5984
001323.SZ,20260105,1142522.0863,817337.3504
000590.SZ,20260105,281857.6813,281740.1696
301380.SZ,20260105,395227.7038,314719.1174
600219.SH,20260105,6316035.8575,6316035.8575
000731.SZ,20260105,361676.2681,361676.2681
688046.SH,20260105,673220.0,673220.0
000818.SZ,20260105,1329240.0785,1325637.8381
603155.SH,20260105,540311.2148,540311.2148
301327.SZ,20260105,1034604.5851,452589.1511
002080.SZ,20260105,6373513.372,6373513.372
300715.SZ,20260105,423422.0816,374257.9411
603968.SH,20260105,229426.56,229426.56
688081.SH,20260105,406595.84,406595.84
600876.SH,20260105,641800.9132,393300.9132
300990.SZ,20260105,1540159.1454,696343.4316
